run_id,model,vignette,temperature,n_messages,jaccard,bertscore_f1,alignment,validity,modal_agreement,slice
20260324_184307_mistral_large_skeptic,mistral_large,skeptic,0.075,17,0.9333333333333336,0.7554639577865601,1.0,1.0,0.95,4
20260324_185845_mistral_large_skeptic,mistral_large,skeptic,0.075,19,1.0,0.7187544107437134,0.975,1.0,1.0,5
20260324_181431_mistral_large_skeptic,mistral_large,skeptic,0.15,11,1.0,0.7924497723579407,1.0,1.0,1.0,1
20260321_195403_mistral_large_skeptic,mistral_large,skeptic,0.15,13,1.0,0.708632230758667,0.95,1.0,1.0,2
20260324_182938_mistral_large_skeptic,mistral_large,skeptic,0.15,15,0.9333333333333338,0.7039936184883118,0.975,1.0,0.95,3
20260324_184439_mistral_large_skeptic,mistral_large,skeptic,0.15,17,0.8736842105263163,0.7233611345291138,1.0,1.0,0.9,4
20260324_185955_mistral_large_skeptic,mistral_large,skeptic,0.15,19,1.0,0.7456443905830383,1.0,1.0,1.0,5
20260324_181535_mistral_large_trauma,mistral_large,trauma,0.075,23,0.5894736842105256,0.7014943361282349,0.9125,1.0,0.55,1
20260323_234911_mistral_large_trauma,mistral_large,trauma,0.075,25,0.6807017543859639,0.708425760269165,1.0,1.0,0.65,2
20260324_183051_mistral_large_trauma,mistral_large,trauma,0.075,27,0.8736842105263164,0.7651404142379761,1.0,1.0,0.9,3
20260324_184551_mistral_large_trauma,mistral_large,trauma,0.075,29,0.9333333333333337,0.7236189842224121,1.0,1.0,0.95,4
20260324_190106_mistral_large_trauma,mistral_large,trauma,0.075,31,1.0,0.7261972427368164,1.0,1.0,1.0,5
20260324_181648_mistral_large_trauma,mistral_large,trauma,0.15,23,0.6070175438596479,0.7178906798362732,0.975,1.0,0.6,1
20260321_195630_mistral_large_trauma,mistral_large,trauma,0.15,25,0.6526315789473675,0.6884821653366089,0.95,1.0,0.55,2
20260324_183202_mistral_large_trauma,mistral_large,trauma,0.15,27,1.0,0.787207841873169,0.9875,1.0,1.0,3
20260324_184702_mistral_large_trauma,mistral_large,trauma,0.15,29,1.0,0.7491926550865173,0.9875,1.0,1.0,4
20260324_190218_mistral_large_trauma,mistral_large,trauma,0.15,31,0.9,0.748786985874176,0.9875,1.0,0.95,5
